id,url,secteur,canton,ville,date_audit,blog_present,nb_articles_blog,dernier_article_date,mois_depuis_dernier_article,derniere_modif_sitemap,copyright_annee,wayback_last_snapshot_diff_date,lighthouse_perf_mobile,lighthouse_seo,lighthouse_accessibility,https,mobile_responsive,title_present,meta_description_present,h1_unique,schema_org_present,schema_types,nb_pages_indexees,gmb_present,gmb_nb_avis,gmb_note_moyenne,gmb_dernier_post_date,gmb_reponses_avis_pct,gmb_horaires_visibles,gmb_telephone_visible,cta_homepage_present,formulaire_contact_present,tel_cliquable_mobile,preuves_sociales_presentes,page_about_present,auteur_nomme,photo_auteur_presente,mentions_legales_presentes,certifications_visibles,liens_rs_presents,rs_actifs,archetype,score_activite,notes
A18,https://www.scbdiet.ch,sante-dieteticienne,VD,Morges,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,oui,N/A,N/A,N/A,none,~2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,N/A,non,non,oui,N/A,N/A,oui,N/A,inconnu,squelette-mobile-casse,4,"Site en HTTP (non sécurisé). 2 pages. Sylvie Chenaux Boisselet – ASDD. Fondé 2007 mais site non mis à jour. Problème technique HTTPS = squelette."
A19,https://www.swissavocat.ch,profession-lib-avocat,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,N/A,non,non,non,N/A,N/A,non,N/A,inconnu,squelette-mobile-casse,3,"Une seule page indexée. Cabinet avocat sans aucune page de service ni blog. Complètement invisible. Pire score du groupe professions libérales."
A20,https://ad-hoc-avocats.com,profession-lib-avocat,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,oui,non,N/A,inconnu,vitrine-fossile,10,"10+ pages. /a-propos + /mentions-legales + /plan-du-site. Domaines juridiques couverts. Pas de blog mais structure solide."
A21,https://www.fiduciaire-sv.ch,profession-lib-fiduciaire,VD,Chavornay,2026-04-15,oui,3,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,oui,N/A,N/A,non,N/A,inconnu,blog-abandonne,10,"Sandrine Viglino nommée. 2+ articles visibles (/utile-et-pratique). Info taux AVS 2023 visible = contenu non mis à jour. Blog actif jadis."
A22,https://www.fiduciaire-staehli.ch,profession-lib-fiduciaire,VD,Morrens,2026-04-15,oui,6,2026-01-01,3,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,oui,N/A,N/A,oui,N/A,inconnu,vivant,17,"Martine Staehli nommée. Article 2026 visible (Meilleurs Experts Fiscaux 2026). Blog actif avec articles fiscaux. Certifiée meilleure fiduciaire 2026."
A23,https://leroy.archi,profession-lib-architecte,VD,Nyon,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,oui,N/A,N/A,oui,N/A,inconnu,vitrine-fossile,13,"Philippe Le Roy – architecte EPFZ. Portfolio riche. /a_propos + /equipe + /eco-construction. Pas de blog. Site portfolio soigné sans contenu éditorial."
A24,https://www.atelier-a-architectes.ch,profession-lib-architecte,GE,Carouge,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,oui,N/A,N/A,non,N/A,inconnu,vitrine-fossile,12,"Sarrah Meille + Emmanuel Charpié nommés. Bilingue FR/EN. Projets + équipe. Créé 2020. Pas de blog. Site soigné et professionnel."
A25,https://le23emelieu.ch,beaute-coiffeur,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,oui,non,N/A,inconnu,vitrine-fossile,12,"10+ pages. /notre-equipe. Booking online. Juice bar intégré. Pas de blog. Présence RS forte (Instagram visible dans search). Site bien structuré."
A26,https://evidencecoiffure.ch,beaute-coiffeur,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,N/A,non,non,non,N/A,N/A,non,N/A,inconnu,squelette-mobile-casse,3,"Une seule page indexée. Salon ouvert mars 2022. Malgré 4 ans d'activité, quasiment aucune présence web. Frappant pour un salon actif."
A27,https://www.theyogarden.ch,beaute-yoga,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,N/A,non,N/A,inconnu,vitrine-fossile,10,"~10 pages (types de yoga). /lesprofs = équipe. Location salle. Pas de blog. Site vitrine bien construit mais dormant éditorialement."
A28,https://ooom.ch,beaute-yoga-therapie,VD,Lausanne,2026-04-15,oui,5,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,N/A,oui,N/A,inconnu,vivant,14,"Section /trucs-astuces (remèdes naturels). /therapeute. Master psychologie UNIL. Présent depuis 2010. Tarifs et stages publiés. Site actif et soigné."
A29,https://www.sydneyfierro.com,beaute-masseur-yoga,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,non,N/A,N/A,non,N/A,inconnu,vitrine-fossile,6,"3 pages (services uniquement). Ancienne chanteuse reconvertie. Site Wix basique. Pas de blog, pas d'about, pas de mentions légales."
A30,https://www.lebarbier-de-fribourg.ch,beaute-barbier,FR,Fribourg,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~4,oui,110,4.9,never,50,oui,oui,oui,N/A,N/A,oui,oui,non,N/A,oui,non,oui,inconnu,vitrine-fossile,12,"110+ avis Google 4.9/5. Barbers nommés (Yanick, Alain, Yohann, Thomas). /a-propos + /politique-de-confidentialite. 0 blog mais forte présence GMB."
A31,https://www.lastationlausanne.ch,restauration,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,N/A,non,non,oui,N/A,N/A,non,N/A,inconnu,vitrine-fossile,8,"Chef Lucas Lepoutre nommé. Bistrot solidaire / réinsertion. 4 pages. /old-home suggère refonte récente. Pas de blog. Concept original mais site minimal."
A32,https://jacques-restaurant.ch,restauration,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,oui,N/A,N/A,non,N/A,inconnu,vitrine-fossile,10,"Chef Jacques Allisson nommé. /offrir (bons cadeaux) + /groupes = bonne conversion. /privacy-policy. ~7 pages. Pas de blog mais orienté vente."
A33,https://cafedesamisneuchatel.ch,restauration,NE,Neuchâtel,2026-04-15,oui,3,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,non,N/A,N/A,non,N/A,inconnu,blog-abandonne,10,"Section /actualites.html présente. /reservation.html. Flammkuchen comme spécialité. 8 pages bien structurées. Date des actualités inconnue."
A34,https://www.apothecapurefood.ch,restauration,NE,Neuchâtel,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,non,N/A,N/A,non,N/A,inconnu,vitrine-fossile,9,"5 pages. E-shop intégré avec retrait en boutique. Cuisine bio/locale. Pas de blog. Contact via formulaire en ligne."
A35,https://brasserie-le-national.ch,restauration,VS,Sierre,2026-04-15,oui,3,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,N/A,non,non,non,N/A,N/A,non,N/A,inconnu,blog-abandonne,11,"~7 pages. Articles visibles : œnothèque, burgers. Bar Le 1730. Événements privatifs. Dates articles inconnues. Repris en 2017."
A36,https://delphica.ch,commerce-niche-librairie,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,50+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,oui,N/A,N/A,non,N/A,inconnu,vivant,13,"E-commerce actif avec 50+ produits indexés. Zita (fondatrice) + Alexandre nommés. Club de lecture mensuel. Fondée 2011. Pas de blog mais catalogue vivant."
A37,https://librairieduboulevard.ch,commerce-niche-librairie,GE,Genève,2026-04-15,oui,50,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,50+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,non,non,N/A,inconnu,vivant,18,"Blog /actualites très actif (15+ pages d'articles visibles). Coups de cœur par genre. Événements. Fondée 1975. Le site le plus éditorialement actif du panel."
A38,https://librairiebasta.ch,commerce-niche-librairie,VD,Lausanne,2026-04-15,oui,15,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,oui,non,N/A,inconnu,vivant,15,"Coopérative autogérée. /articles + /news. Fondée 1978. 2 emplacements. Obsession Records associé. Engagement politique et culturel visible."
A39,https://www.lachaumiere-verbier.ch,commerce-niche-fromagerie,VS,Verbier,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,N/A,non,oui,oui,N/A,N/A,non,N/A,inconnu,vitrine-fossile,10,"Philippe + Léo Blanc nommés. /a-propos. /nlpd (protection données). 6 pages. Fondée 1959. Pas de blog. Site propre mais dormant."
A40,https://www.junglepop.ch,commerce-niche-fleuriste,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,N/A,non,N/A,inconnu,vivant,14,"Site Shopify en anglais. 10+ pages. /about + /contact. Abonnements floraux. Clients prestige. Livraison J même. E-commerce actif mais 0 blog."
A41,https://vipvoyages.ch,services-PME-agence-voyage,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,N/A,non,N/A,inconnu,vitrine-fossile,10,"10+ pages. /a-propos. Membre AVP. Depuis 1999. Offres voyages bien structurées. Pas de blog. Site commercial sans contenu éditorial."
A42,https://genevamove.ch,services-PME-demenagement,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,N/A,non,non,non,N/A,N/A,non,N/A,inconnu,squelette-mobile-casse,2,"Une seule page. Service 24/7 mais présence web quasi nulle. Score le plus bas du panel. Clients GE + France voisine."
A43,https://mika-transports.ch,services-PME-transport,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,N/A,non,N/A,inconnu,vitrine-fossile,11,"Mika K. nommé (fondateur 2016). 10+ pages services. /devis. /societe/mikaquisommesnous. Pas de blog. Site professionnel sans contenu éditorial."
A44,https://authenticar.ch,services-PME-garage,NE,Neuchâtel,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,non,N/A,N/A,non,N/A,inconnu,vitrine-fossile,7,"3 pages. /prendre-rdv = bonne conversion. Pas de blog. Garage toutes marques. Site minimaliste."
A45,https://www.autopassion.ch,services-PME-garage,NE,Neuchâtel,2026-04-15,oui,6,2025-01-01,15,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,N/A,non,N/A,inconnu,vivant,14,"Agent Skoda. Section /news.php active (articles 2024 Kodiaq + 2025 BEV Enyaq). Fondé 1994. /contact + /gamme. Blog léger mais contenu datant 2025."
A46,https://www.mcscoach.ch,formateur-coach-vie,GE,Genève,2026-04-15,oui,3,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,oui,oui,oui,N/A,N/A,oui,N/A,inconnu,blog-abandonne,13,"Mireille Spycher Chabry. /post/l-échec-n-existe-pas = blog présent. Certif PNL + Hypnose + ASCA. Témoignages visibles. Dates blog inconnues."
A47,https://my-ikigai.ch,formateur-coach,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,oui,oui,oui,N/A,N/A,oui,N/A,inconnu,vitrine-fossile,11,"Céline Mercader Cools – psychologue coach. Témoignages nombreux (visibles en snippet). PDF newsletter. Spécialiste ikigaï en Romandie."
A48,https://neswa.ch,formateur-coaching-formation,NE,Neuchâtel,2026-04-15,oui,10,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,oui,N/A,N/A,non,N/A,inconnu,vivant,16,"Sabrina Streit nommée. ~10 articles de blog visibles (intuition, sécurité psychologique, outplacement). Catégories /manager + /candidat. Le meilleur blog-coaching du panel."
A49,https://www.formation-conseil.ch,formateur-coach-professionnel,FR,Fribourg,2026-04-15,oui,5,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,N/A,oui,N/A,inconnu,vivant,14,"Section /actualites. Équipe 18 formateurs-coaches. Certifié EduQua depuis 2002. /gestion-carriere + /insertion-professionnelle + /accompagnement-entreprise."
A50,https://www.aurelienfaussurier.ch,formateur-coach-sportif,FR,Fribourg,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,oui,N/A,N/A,non,N/A,inconnu,vitrine-fossile,10,"Aurélien Faussurier. ~9 pages (pilates, Nordic walking, massage, coaching). /a-propos. /coaches = témoignages. Bien structuré mais 0 blog."
